cpt_hcpcs_code,long_desc,short_desc,betos_code,betos_code_desc
M1044,Functional status was measured by the oswestry disability index (odi version 2.1a) patient reported outcome tool within three months preoperatively and at one year (9 to 15 months) postoperatively,Ftl st mea odi 3 mo,Z2, Undefined codes
M1045,Functional status measured by the oxford knee score (oks) at one year (9 to 15 months) postoperatively was greater than or equal to 37,Fs oks 9-15mo = 37,Z2, Undefined codes
M1046,Functional status measured by the oxford knee score (oks) at one year (9 to 15 months) postoperatively was less than 37,Fs oks 9-15mo = 37,Z2, Undefined codes
M1047,Functional status was measured by the oxford knee score (oks) patient reported outcome tool within three months preoperatively and at one year (9 to 15 months) postoperatively,Fs msrd oks pre and post,Z2, Undefined codes
M1048,Functional status measurement with score was obtained utilizing the oswestry disability index (odi version 2.1a) patient reported outcome tool within three months preoperatively and at three months (6 to 20 weeks) postoperatively,Fsm wth scr odi pre and post,Z2, Undefined codes
M1049,Functional status was not measured by the oswestry disability index (odi version 2.1a) at three months (6 - 20 weeks) postoperatively,Fs wth scr no odi pre and p,Z2, Undefined codes
M1050,Functional status was measured by the oswestry disability index (odi version 2.1a) patient reported outcome tool within three months preoperatively and at three months (6 to 20 weeks) postoperatively,Fs msrd odi pre and post,Z2, Undefined codes
M1051,"Patient had cancer, fracture or infection related to the lumbar spine or patient had idiopathic or congenital scoliosis",Pt w/cancer scoliosis,Z2, Undefined codes
M1052,Leg pain was not measured by the visual analog scale (vas) at one year (9 to 15 months) postoperatively,Lg pn not meas w/ vas 1yr po,Z2, Undefined codes
M1053,Leg pain was measured by the visual analog scale (vas) within three months preoperatively and at one year (9 to 15 months) postoperatively,Pre and post vas wthn 3 mos,Z2, Undefined codes
M1054,Patient had only urgent care visits during the performance period,Pt uc in pp,Z2, Undefined codes
M1055,Aspirin or another antiplatelet therapy used,Aspirin used,Z2, Undefined codes
M1056,"Prescribed anticoagulant medication during the performance period, history of gi bleeding, history of intracranial bleeding, bleeding disorder and specific provider documented reasons: allergy to aspirin or anti-platelets, use of non-steroidal anti-inflammatory agents, drug-drug interaction, uncontrolled hypertension > 180/110 mmhg or gastroesophageal reflux disease",Presc antico med in pp,Z2, Undefined codes
M1057,"Aspirin or another antiplatelet therapy not used, reason not given","Aspirin not used, no rsn",Z2, Undefined codes
M1058,Patient was a permanent nursing home resident at any time during the performance period,Pt prm nurs hm res in pp,Z2, Undefined codes
M1059,Patient was in hospice or receiving palliative care at any time during the performance period,Pt no prm nurs hm res in pp,Z2, Undefined codes
M1060,Patient died prior to the end of the performance period,Pt died in pp,Z2, Undefined codes
M1061,Patient pregnancy,Pt preg,Z2, Undefined codes
M1062,Patient immunocompromised,Pt imcomprmd,Z2, Undefined codes
M1063,Patients receiving high doses of immunosuppressive therapy,Pt rec hg dos imsup thpy,Z2, Undefined codes
M1064,Shingrix vaccine documented as administered or previously received,Shing vac doc adm or pv rec,Z2, Undefined codes
M1065,"Shingrix vaccine was not administered for reasons documented by clinician (e.g. patient administered vaccine other than shingrix, patient allergy or other medical reasons, patient declined or other patient reasons, vaccine not available or other system reasons)",Shing vac no adm clinc rsn,Z2, Undefined codes
M1066,"Shingrix vaccine not documented as administered, reason not given",Shing vac no doc no rsn,Z2, Undefined codes
M1067,Hospice services for patient provided any time during the measurement period,Hspc pt prv time meam per,Z2, Undefined codes
M1068,Adults who are not ambulatory,Pt not ambulatory,Z2, Undefined codes
M1069,Patient screened for future fall risk,Pt scr ft fall rsk,Z2, Undefined codes
M1070,"Patient not screened for future fall risk, reason not given",Pt not scrn fut fall no rsn,Z2, Undefined codes
M1071,Patient had any additional spine procedures performed on the same date as the lumbar discectomy/laminotomy,Pt had add'l sp pcr perf,Z2, Undefined codes
M1106,The start of an episode of care documented in the medical record,Start eoc doc med rec,Z2, Undefined codes
M1107,"Documentation stating patient has a diagnosis of a degenerative neurological condition such as als, ms, or parkinson's diagnosed at any time before or during the episode of care",Docu dx degen neuro,Z2, Undefined codes
M1108,"Ongoing care not indicated, patient seen only 1-2 visits (e.g., home program only, referred to another provider or facility, consultation only)",Oc ni pt 1-2 vis,Z2, Undefined codes
M1109,"Ongoing care not indicated, patient discharged after only 1-2 visits due to specific medical events, documented in the medical record that make the treatment episode impossible such as the patient becomes hospitalized or scheduled for surgery or hospitalized",Oc ni pt dc 1-2 vis,Z2, Undefined codes
M1110,"Ongoing care not indicated, patient self-discharged early and seen only 1-2 visits (e.g., financial or insurance reasons, transportation problems, or reason unknown)",Oc ni pt selfdc 1-2 vis,Z2, Undefined codes
M1111,The start of an episode of care documented in the medical record,Start eoc doc med rec,Z2, Undefined codes
M1112,"Documentation stating patient has a diagnosis of a degenerative neurological condition such as als, ms, or parkinson's diagnosed at any time before or during the episode of care",Docu dx degen neuro,Z2, Undefined codes
M1113,"Ongoing care not indicated, patient seen only 1-2 visits (e.g., home program only, referred to another provider or facility, consultation only)",Oc ni pt 1-2 vis,Z2, Undefined codes
M1114,"Ongoing care not indicated, patient discharged after only 1-2 visits due to specific medical events, documented in the medical record that make the treatment episode impossible such as the patient becomes hospitalized or scheduled for surgery or hospitalized",Oc ni pt dc 1-2 vis,Z2, Undefined codes
M1115,"Ongoing care not indicated, patient self-discharged early and seen only 1-2 visits (e.g., financial or insurance reasons, transportation problems, or reason unknown)",Oc ni pt selfdc 1-2 vis,Z2, Undefined codes
M1116,The start of an episode of care documented in the medical record,Start eoc doc med rec,Z2, Undefined codes
M1117,"Documentation stating patient has a diagnosis of a degenerative neurological condition such as als, ms, or parkinson's diagnosed at any time before or during the episode of care",Docu dx degen neuro,Z2, Undefined codes
M1118,"Ongoing care not indicated, patient seen only 1-2 visits (e.g., home program only, referred to another provider or facility, consultation only)",Oc ni pt 1-2 vis,Z2, Undefined codes
M1119,"Ongoing care not indicated, patient discharged after only 1-2 visits due to specific medical events, documented in the medical record that make the treatment episode impossible such as the patient becomes hospitalized or scheduled for surgery or hospitalized",Oc ni pt dc 1-2 vis,Z2, Undefined codes
M1120,"Ongoing care not indicated, patient self-discharged early and seen only 1-2 visits (e.g., financial or insurance reasons, transportation problems, or reason unknown)",Oc ni pt selfdc 1-2 vis,Z2, Undefined codes
M1121,The start of an episode of care documented in the medical record,Start eoc doc med rec,Z2, Undefined codes
M1122,"Documentation stating patient has a diagnosis of a degenerative neurological condition such as als, ms, or parkinson's diagnosed at any time before or during the episode of care",Docu dx degen neuro,Z2, Undefined codes
M1123,"Ongoing care not indicated, patient seen only 1-2 visits (e.g., home program only, referred to another provider or facility, consultation only)",Oc ni pt 1-2 vis,Z2, Undefined codes
M1124,"Ongoing care not indicated, patient discharged after only 1-2 visits due to specific medical events, documented in the medical record that make the treatment episode impossible such as the patient becomes hospitalized or scheduled for surgery",Oc ni pt dc 1-2 vis,Z2, Undefined codes
M1125,"Ongoing care not indicated, patient self-discharged early and seen only 1-2 visits (e.g., financial or insurance reasons, transportation problems, or reason unknown)",Oc ni pt selfdc 1-2 vis,Z2, Undefined codes
M1126,The start of an episode of care documented in the medical record,Start eoc doc med rec,Z2, Undefined codes
M1127,"Documentation stating patient has a diagnosis of a degenerative neurological condition such as als, ms, or parkinson's diagnosed at any time before or during the episode of care",Docu dx degen neuro,Z2, Undefined codes
M1128,"Ongoing care not indicated, patient seen only 1-2 visits (e.g., home program only, referred to another provider or facility, consultation only)",Oc ni pt 1-2 vis,Z2, Undefined codes
M1129,"Ongoing care not indicated, patient discharged after only 1-2 visits due to specific medical events, documented in the medical record that make the treatment episode impossible such as the patient becomes hospitalized or scheduled for surgery",Oc ni pt dc 1-2 vis,Z2, Undefined codes
M1130,"Ongoing care not indicated, patient self-discharged early and seen only 1-2 visits (e.g., financial or insurance reasons, transportation problems, or reason unknown)",Oc ni pt self dc 1-2 vis,Z2, Undefined codes
M1131,"Documentation stating patient has a diagnosis of a degenerative neurological condition such as als, ms, or parkinson's diagnosed at any time before or during the episode of care",Docu dx degen neuro,Z2, Undefined codes
M1132,"Ongoing care not indicated, patient seen only 1-2 visits (e.g., home program only, referred to another provider or facility, consultation only)",Oc ni pt 1-2 vis,Z2, Undefined codes
M1133,"Ongoing care not indicated, patient discharged after only 1-2 visits due to specific medical events, documented in the medical record that make the treatment episode impossible such as the patient becomes hospitalized or scheduled for surgery",Oc ni pt dc 1-2 vis,Z2, Undefined codes
M1134,"Ongoing care not indicated, patient self-discharged early and seen only 1-2 visits (e.g., financial or insurance reasons, transportation problems, or reason unknown",Oc ni pt self dc 1-2 vis,Z2, Undefined codes
M1135,The start of an episode of care documented in the medical record,Start eoc doc med rec,Z2, Undefined codes
M1136,The start of an episode of care documented in the medical record,Start eoc doc med rec,Z2, Undefined codes
M1137,"Documentation stating patient has a diagnosis of a degenerative neurological condition such as als, ms, or parkinson's diagnosed at any time before or during the episode of care",Docu dx degen neuro,Z2, Undefined codes
M1138,"Ongoing care not indicated, patient seen only 1-2 visits (e.g., home program only, referred to another provider or facility, consultation only)",Oc ni pt 1-2 vis,Z2, Undefined codes
M1139,"Ongoing care not indicated, patient self-discharged early and seen only 1-2 visits (e.g., financial or insurance reasons, transportation problems, or reason unknown)",Oc ni pt self dc 1-2 vis,Z2, Undefined codes
M1140,"Ongoing care not indicated, patient discharged after only 1-2 visits due to specific medical events, documented in the medical record that make the treatment episode impossible such as the patient becomes hospitalized or scheduled for surgery for surgery or hospitalized",Oc ni pt dc 1-2 vis,Z2, Undefined codes
M1141,Functional status was not measured by the oxford knee score (oks) at one year (9 to 15 months) postoperatively,Fs no oks,Z2, Undefined codes
M1142,Emergent cases,Emerge cases,Z2, Undefined codes
M1143,"Initiated episode of rehabilitation therapy, medical, or chiropractic care for neck impairment",Ni rehab med chiro,Z2, Undefined codes
M1144,"Ongoing care not indicated, patient seen only 1-2 visits (e.g., home program only, referred to another provider or facility, consultation only",Oc no ind pt 1-2 vis,Z2, Undefined codes
P2028,"Cephalin floculation, blood",Cephalin floculation test,T1H, Lab tests_other (non-Medicare fee schedule)
P2029,"Congo red, blood",Congo red blood test,T1H, Lab tests_other (non-Medicare fee schedule)
P2031,Hair analysis (excluding arsenic),Hair analysis,T1H, Lab tests_other (non-Medicare fee schedule)
P2033,"Thymol turbidity, blood",Blood thymol turbidity,T1H, Lab tests_other (non-Medicare fee schedule)
P2038,"Mucoprotein, blood (seromucoid) (medical necessity procedure)",Blood mucoprotein,T1H, Lab tests_other (non-Medicare fee schedule)
P3000,"Screening papanicolaou smear, cervical or vaginal, up to three smears, by technician under physician supervision",Screen pap by tech w md supv,T1H, Lab tests_other (non-Medicare fee schedule)
P3001,"Screening papanicolaou smear, cervical or vaginal, up to three smears, requiring interpretation by physician",Screening pap smear by phys,T1G, Lab tests_other (Medicare fee schedule)
P7001,"Culture, bacterial, urine; quantitative, sensitivity study",Culture bacterial urine,T1H, Lab tests_other (non-Medicare fee schedule)
P9010,"Blood (whole), for transfusion, per unit",Whole blood for transfusion,T1H, Lab tests_other (non-Medicare fee schedule)
P9011,"Blood, split unit",Blood split unit,T1H, Lab tests_other (non-Medicare fee schedule)
P9012,"Cryoprecipitate, each unit",Cryoprecipitate each unit,T1H, Lab tests_other (non-Medicare fee schedule)
P9016,"Red blood cells, leukocytes reduced, each unit",Rbc leukocytes reduced,T1H, Lab tests_other (non-Medicare fee schedule)
P9017,"Fresh frozen plasma (single donor), frozen within 8 hours of collection, each unit",Plasma 1 donor frz w/in 8 hr,T1H, Lab tests_other (non-Medicare fee schedule)
P9019,"Platelets, each unit","Platelets, each unit",T1H, Lab tests_other (non-Medicare fee schedule)
P9020,"Platelet rich plasma, each unit",Plaelet rich plasma unit,T1H, Lab tests_other (non-Medicare fee schedule)
P9021,"Red blood cells, each unit",Red blood cells unit,T1H, Lab tests_other (non-Medicare fee schedule)
P9022,"Red blood cells, washed, each unit",Washed red blood cells unit,T1H, Lab tests_other (non-Medicare fee schedule)
P9023,"Plasma, pooled multiple donor, solvent/detergent treated, frozen, each unit","Frozen plasma, pooled, sd",T1H, Lab tests_other (non-Medicare fee schedule)
P9031,"Platelets, leukocytes reduced, each unit",Platelets leukocytes reduced,T1H, Lab tests_other (non-Medicare fee schedule)
P9032,"Platelets, irradiated, each unit","Platelets, irradiated",T1H, Lab tests_other (non-Medicare fee schedule)
P9033,"Platelets, leukocytes reduced, irradiated, each unit",Platelets leukoreduced irrad,T1H, Lab tests_other (non-Medicare fee schedule)
P9034,"Platelets, pheresis, each unit","Platelets, pheresis",T1H, Lab tests_other (non-Medicare fee schedule)
P9035,"Platelets, pheresis, leukocytes reduced, each unit",Platelet pheres leukoreduced,T1H, Lab tests_other (non-Medicare fee schedule)
P9036,"Platelets, pheresis, irradiated, each unit",Platelet pheresis irradiated,T1H, Lab tests_other (non-Medicare fee schedule)
P9037,"Platelets, pheresis, leukocytes reduced, irradiated, each unit",Plate pheres leukoredu irrad,T1H, Lab tests_other (non-Medicare fee schedule)
P9038,"Red blood cells, irradiated, each unit",Rbc irradiated,T1H, Lab tests_other (non-Medicare fee schedule)
P9039,"Red blood cells, deglycerolized, each unit",Rbc deglycerolized,T1H, Lab tests_other (non-Medicare fee schedule)
P9040,"Red blood cells, leukocytes reduced, irradiated, each unit",Rbc leukoreduced irradiated,T1H, Lab tests_other (non-Medicare fee schedule)
P9041,"Infusion, albumin (human), 5%, 50 ml","Albumin (human),5%, 50ml",T1H, Lab tests_other (non-Medicare fee schedule)
P9043,"Infusion, plasma protein fraction (human), 5%, 50 ml","Plasma protein fract,5%,50ml",T1H, Lab tests_other (non-Medicare fee schedule)
P9044,"Plasma, cryoprecipitate reduced, each unit",Cryoprecipitatereducedplasma,T1H, Lab tests_other (non-Medicare fee schedule)
P9045,"Infusion, albumin (human), 5%, 250 ml","Albumin (human), 5%, 250 ml",Y2, Other_non-Medicare fee schedule
P9046,"Infusion, albumin (human), 25%, 20 ml","Albumin (human), 25%, 20 ml",Y2, Other_non-Medicare fee schedule
P9047,"Infusion, albumin (human), 25%, 50 ml","Albumin (human), 25%, 50ml",Y2, Other_non-Medicare fee schedule
P9048,"Infusion, plasma protein fraction (human), 5%, 250 ml","Plasmaprotein fract,5%,250ml",Y2, Other_non-Medicare fee schedule
P9050,"Granulocytes, pheresis, each unit","Granulocytes, pheresis unit",Z2, Undefined codes
P9051,"Whole blood or red blood cells, leukocytes reduced, cmv-negative, each unit","Blood, l/r, cmv-neg",T1H, Lab tests_other (non-Medicare fee schedule)
P9052,"Platelets, hla-matched leukocytes reduced, apheresis/pheresis, each unit","Platelets, hla-m, l/r, unit",T1H, Lab tests_other (non-Medicare fee schedule)
P9053,"Platelets, pheresis, leukocytes reduced, cmv-negative, irradiated, each unit","Plt, pher, l/r cmv-neg, irr",T1H, Lab tests_other (non-Medicare fee schedule)
P9054,"Whole blood or red blood cells, leukocytes reduced, frozen, deglycerol, washed, each unit","Blood, l/r, froz/degly/wash",T1H, Lab tests_other (non-Medicare fee schedule)
P9055,"Platelets, leukocytes reduced, cmv-negative, apheresis/pheresis, each unit","Plt, aph/pher, l/r, cmv-neg",T1H, Lab tests_other (non-Medicare fee schedule)
P9056,"Whole blood, leukocytes reduced, irradiated, each unit","Blood, l/r, irradiated",T1H, Lab tests_other (non-Medicare fee schedule)
P9057,"Red blood cells, frozen/deglycerolized/washed, leukocytes reduced, irradiated, each unit","Rbc, frz/deg/wsh, l/r, irrad",T1H, Lab tests_other (non-Medicare fee schedule)
P9058,"Red blood cells, leukocytes reduced, cmv-negative, irradiated, each unit","Rbc, l/r, cmv-neg, irrad",T1H, Lab tests_other (non-Medicare fee schedule)
P9059,"Fresh frozen plasma between 8-24 hours of collection, each unit","Plasma, frz between 8-24hour",T1H, Lab tests_other (non-Medicare fee schedule)
P9060,"Fresh frozen plasma, donor retested, each unit",Fr frz plasma donor retested,T1H, Lab tests_other (non-Medicare fee schedule)
P9070,"Plasma, pooled multiple donor, pathogen reduced, frozen, each unit",Pathogen reduced plasma pool,T1H, Lab tests_other (non-Medicare fee schedule)
P9071,"Plasma (single donor), pathogen reduced, frozen, each unit",Pathogen reduced plasma sing,T1H, Lab tests_other (non-Medicare fee schedule)
P9072,"Platelets, pheresis, pathogen reduced or rapid bacterial tested, each unit",Plate path red/rapid bac tes,T1H, Lab tests_other (non-Medicare fee schedule)
P9073,"Platelets, pheresis, pathogen-reduced, each unit",Platelets pheresis path redu,T1H, Lab tests_other (non-Medicare fee schedule)
P9099,Blood component or product not otherwise classified,Blood component/product noc,T1H, Lab tests_other (non-Medicare fee schedule)
P9100,Pathogen(s) test for platelets,Pathogen test for platelets,T1H, Lab tests_other (non-Medicare fee schedule)
P9603,Travel allowance one way in connection with medically necessary laboratory specimen collection drawn from home bound or nursing home bound patient; prorated miles actually travelled,One-way allow prorated miles,Y2, Other_non-Medicare fee schedule
P9604,Travel allowance one way in connection with medically necessary laboratory specimen collection drawn from home bound or nursing home bound patient; prorated trip charge,One-way allow prorated trip,Y2, Other_non-Medicare fee schedule
P9612,"Catheterization for collection of specimen, single patient, all places of service",Catheterize for urine spec,T1H, Lab tests_other (non-Medicare fee schedule)
P9615,Catheterization for collection of specimen(s) (multiple patients),Urine specimen collect mult,T1H, Lab tests_other (non-Medicare fee schedule)
Q0035,Cardiokymography,Cardiokymography,T2D, Other tests_other
Q0081,"Infusion therapy, using other than chemotherapeutic drugs, per visit",Infusion ther other than che,P6C, Minor procedures_other (Medicare fee schedule)
Q0083,"Chemotherapy administration by other than infusion technique only (e.g., subcutaneous, intramuscular, push), per visit",Chemo by other than infusion,O1D, Chemotherapy
Q0084,"Chemotherapy administration by infusion technique only, per visit",Chemotherapy by infusion,O1D, Chemotherapy
Q0085,"Chemotherapy administration by both infusion technique and other technique(s) (e.g., subcutaneous, intramuscular, push), per visit",Chemo by both infusion and o,O1D, Chemotherapy
Q0091,"Screening papanicolaou smear; obtaining, preparing and conveyance of cervical or vaginal smear to laboratory",Obtaining screen pap smear,P6C, Minor procedures_other (Medicare fee schedule)
Q0092,Set-up portable x-ray equipment,Set up port xray equipment,I1F, Standard imaging_other
Q0111,"Wet mounts, including preparations of vaginal, cervical or skin specimens",Wet mounts/ w preparations,T1H, Lab tests_other (non-Medicare fee schedule)
Q0112,All potassium hydroxide (koh) preparations,Potassium hydroxide preps,T1H, Lab tests_other (non-Medicare fee schedule)
Q0113,Pinworm examinations,Pinworm examinations,T1H, Lab tests_other (non-Medicare fee schedule)
Q0114,Fern test,Fern test,T1H, Lab tests_other (non-Medicare fee schedule)
Q0115,"Post-coital direct, qualitative examinations of vaginal or cervical mucous",Post-coital mucous exam,T1H, Lab tests_other (non-Medicare fee schedule)
Q0138,"Injection, ferumoxytol, for treatment of iron deficiency anemia, 1 mg (non-esrd use)","Ferumoxytol, non-esrd",O1E, Other drugs
Q0139,"Injection, ferumoxytol, for treatment of iron deficiency anemia, 1 mg (for esrd on dialysis)","Ferumoxytol, esrd use",O1E, Other drugs
Q0144,"Azithromycin dihydrate, oral, capsules/powder, 1 gram","Azithromycin dihydrate, oral",O1E, Other drugs
Q0161,"Chlorpromazine hydrochloride, 5 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen",Chlorpromazine hcl 5mg oral,O1D, Chemotherapy
Q0162,"Ondansetron 1 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen",Ondansetron oral,O1D, Chemotherapy
Q0163,"Diphenhydramine hydrochloride, 50 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at time of chemotherapy treatment not to exceed a 48 hour dosage regimen",Diphenhydramine hcl 50mg,O1D, Chemotherapy
Q0164,"Prochlorperazine maleate, 5 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen",Prochlorperazine maleate 5mg,O1D, Chemotherapy
Q0166,"Granisetron hydrochloride, 1 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 24 hour dosage regimen",Granisetron hcl 1 mg oral,O1D, Chemotherapy
Q0167,"Dronabinol, 2.5 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen",Dronabinol 2.5mg oral,O1D, Chemotherapy
Q0169,"Promethazine hydrochloride, 12.5 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen",Promethazine hcl 12.5mg oral,O1D, Chemotherapy
Q0173,"Trimethobenzamide hydrochloride, 250 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen",Trimethobenzamide hcl 250mg,O1D, Chemotherapy
Q0174,"Thiethylperazine maleate, 10 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen",Thiethylperazine maleate10mg,O1D, Chemotherapy
Q0175,"Perphenazine, 4 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen",Perphenazine 4mg oral,O1D, Chemotherapy
Q0177,"Hydroxyzine pamoate, 25 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen",Hydroxyzine pamoate 25mg,O1D, Chemotherapy
Q0180,"Dolasetron mesylate, 100 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 24 hour dosage regimen",Dolasetron mesylate oral,O1D, Chemotherapy
Q0181,"Unspecified oral dosage form, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for a iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen",Unspecified oral anti-emetic,O1D, Chemotherapy
Q0477,"Power module patient cable for use with electric or electric/pneumatic ventricular assist device, replacement only",Pwr module pt cable lvad rpl,D1F, Prosthetic/Orthotic devices
Q0478,"Power adapter for use with electric or electric/pneumatic ventricular assist device, vehicle type","Power adapter, combo vad",D1F, Prosthetic/Orthotic devices
Q0479,"Power module for use with electric or electric/pneumatic ventricular assist device, replacement only","Power module combo vad, rep",D1F, Prosthetic/Orthotic devices
Q0480,"Driver for use with pneumatic ventricular assist device, replacement only","Driver pneumatic vad, rep",D1F, Prosthetic/Orthotic devices
Q0481,"Microprocessor control unit for use with electric ventricular assist device, replacement only","Microprcsr cu elec vad, rep",D1F, Prosthetic/Orthotic devices
Q0482,"Microprocessor control unit for use with electric/pneumatic combination ventricular assist device, replacement only","Microprcsr cu combo vad, rep",D1F, Prosthetic/Orthotic devices
Q0483,"Monitor/display module for use with electric ventricular assist device, replacement only","Monitor elec vad, rep",D1F, Prosthetic/Orthotic devices
Q0484,"Monitor/display module for use with electric or electric/pneumatic ventricular assist device, replacement only",Monitor elec or comb vad rep,D1F, Prosthetic/Orthotic devices
Q0485,"Monitor control cable for use with electric ventricular assist device, replacement only","Monitor cable elec vad, rep",D1F, Prosthetic/Orthotic devices
Q0486,"Monitor control cable for use with electric/pneumatic ventricular assist device, replacement only",Mon cable elec/pneum vad rep,D1F, Prosthetic/Orthotic devices
Q0487,"Leads (pneumatic/electrical) for use with any type electric/pneumatic ventricular assist device, replacement only","Leads any type vad, rep only",D1F, Prosthetic/Orthotic devices
Q0488,"Power pack base for use with electric ventricular assist device, replacement only","Pwr pack base elec vad, rep",D1F, Prosthetic/Orthotic devices
Q0489,"Power pack base for use with electric/pneumatic ventricular assist device, replacement only","Pwr pck base combo vad, rep",D1F, Prosthetic/Orthotic devices
Q0490,"Emergency power source for use with electric ventricular assist device, replacement only","Emr pwr source elec vad, rep",D1F, Prosthetic/Orthotic devices
Q0491,"Emergency power source for use with electric/pneumatic ventricular assist device, replacement only",Emr pwr source combo vad rep,D1F, Prosthetic/Orthotic devices
Q0492,"Emergency power supply cable for use with electric ventricular assist device, replacement only","Emr pwr cbl elec vad, rep",D1F, Prosthetic/Orthotic devices
Q0493,"Emergency power supply cable for use with electric/pneumatic ventricular assist device, replacement only","Emr pwr cbl combo vad, rep",D1F, Prosthetic/Orthotic devices
Q0494,"Emergency hand pump for use with electric or electric/pneumatic ventricular assist device, replacement only","Emr hd pmp elec/combo, rep",D1F, Prosthetic/Orthotic devices
Q0495,"Battery/power pack charger for use with electric or electric/pneumatic ventricular assist device, replacement only","Charger elec/combo vad, rep",D1F, Prosthetic/Orthotic devices
Q0496,"Battery, other than lithium-ion, for use with electric or electric/pneumatic ventricular assist device, replacement only","Battery elec/combo vad, rep",D1F, Prosthetic/Orthotic devices
Q0497,"Battery clips for use with electric or electric/pneumatic ventricular assist device, replacement only","Bat clps elec/comb vad, rep",D1F, Prosthetic/Orthotic devices
Q0498,"Holster for use with electric or electric/pneumatic ventricular assist device, replacement only","Holster elec/combo vad, rep",D1F, Prosthetic/Orthotic devices
Q0499,"Belt/vest/bag for use to carry external peripheral components of any type ventricular assist device, replacement only",Belt/vest elec/combo vad rep,D1F, Prosthetic/Orthotic devices
Q0500,"Filters for use with electric or electric/pneumatic ventricular assist device, replacement only","Filters elec/combo vad, rep",D1F, Prosthetic/Orthotic devices
Q0501,"Shower cover for use with electric or electric/pneumatic ventricular assist device, replacement only","Shwr cov elec/combo vad, rep",D1F, Prosthetic/Orthotic devices
Q0502,"Mobility cart for pneumatic ventricular assist device, replacement only","Mobility cart pneum vad, rep",D1F, Prosthetic/Orthotic devices
Q0503,"Battery for pneumatic ventricular assist device, replacement only, each",Battery pneum vad replacemnt,D1F, Prosthetic/Orthotic devices
Q0504,"Power adapter for pneumatic ventricular assist device, replacement only, vehicle type","Pwr adpt pneum vad, rep veh",D1F, Prosthetic/Orthotic devices
Q0506,"Battery, lithium-ion, for use with electric or electric/pneumatic ventricular assist device, replacement only",Lith-ion batt elec/pneum vad,D1F, Prosthetic/Orthotic devices
Q0507,Miscellaneous supply or accessory for use with an external ventricular assist device,Misc sup/acc ext vad,D1F, Prosthetic/Orthotic devices
Q0508,Miscellaneous supply or accessory for use with an implanted ventricular assist device,Mis sup/acc imp vad,D1F, Prosthetic/Orthotic devices
Q0509,Miscellaneous supply or accessory for use with any implanted ventricular assist device for which payment was not made under medicare part a,Mis sup/ac imp vad nopay med,D1F, Prosthetic/Orthotic devices
Q0510,"Pharmacy supply fee for initial immunosuppressive drug(s), first month following transplant",Dispens fee immunosupressive,O1E, Other drugs
Q0511,"Pharmacy supply fee for oral anti-cancer, oral anti-emetic or immunosuppressive drug(s); for the first prescription in a 30-day period","Sup fee antiem,antica,immuno",O1E, Other drugs
Q0512,"Pharmacy supply fee for oral anti-cancer, oral anti-emetic or immunosuppressive drug(s); for a subsequent prescription in a 30-day period",Px sup fee anti-can sub pres,O1E, Other drugs
Q0513,Pharmacy dispensing fee for inhalation drug(s); per 30 days,Disp fee inhal drugs/30 days,O1E, Other drugs
Q0514,Pharmacy dispensing fee for inhalation drug(s); per 90 days,Disp fee inhal drugs/90 days,O1E, Other drugs
Q0515,"Injection, sermorelin acetate, 1 microgram",Sermorelin acetate injection,O1E, Other drugs
Q1004,New technology intraocular lens category 4 as defined in federal register notice,Ntiol category 4,D1F, Prosthetic/Orthotic devices
Q1005,New technology intraocular lens category 5 as defined in federal register notice,Ntiol category 5,D1F, Prosthetic/Orthotic devices
Q2004,"Irrigation solution for treatment of bladder calculi, for example renacidin, per 500 ml",Bladder calculi irrig sol,O1E, Other drugs
